"muni_code" "ayear" "cover_class" "area_ha"
"2100303" "2003" 25 50.709
"2100303" "2003" 33 101.865
"2100303" "2004" 3 146051.233
"2100303" "2004" 4 41247.87
"2100303" "2004" 11 597.331
"2100303" "2004" 12 5660.502
"2100303" "2004" 15 222.381
"2100303" "2004" 21 11.409
"2100303" "2004" 24 274.738
"2100303" "2004" 25 49.193
"2100303" "2004" 33 102.489
"2100303" "2005" 3 146236.8
"2100303" "2005" 4 40988.685
"2100303" "2005" 11 594.657
"2100303" "2005" 12 5647.667
"2100303" "2005" 15 243.773
"2100303" "2005" 21 67.738
"2100303" "2005" 24 287.571
"2100303" "2005" 25 52.759
"2100303" "2005" 33 97.498
"2100303" "2006" 3 145628.396
"2100303" "2006" 4 41238.79
"2100303" "2006" 11 575.315
"2100303" "2006" 12 5776.187
"2100303" "2006" 15 323.991
"2100303" "2006" 21 163.287
"2100303" "2006" 24 293.719
"2100303" "2006" 25 72.008
"2100303" "2006" 33 145.453
"2100303" "2007" 3 145396.316
"2100303" "2007" 4 41230.439
"2100303" "2007" 9 3.654
"2100303" "2007" 11 565.333
"2100303" "2007" 12 5650.784
"2100303" "2007" 15 436.653
"2100303" "2007" 21 159.714
"2100303" "2007" 24 312.968
"2100303" "2007" 25 311.732
"2100303" "2007" 33 149.553
"2100303" "2008" 3 144535.586
"2100303" "2008" 4 41162.259
"2100303" "2008" 9 163.02
"2100303" "2008" 11 545.008
"2100303" "2008" 12 5673.33
"2100303" "2008" 15 516.515
"2100303" "2008" 20 0.713
"2100303" "2008" 21 626.866
"2100303" "2008" 24 325.711
"2100303" "2008" 25 495.143
"2100303" "2008" 33 172.995
"2100303" "2009" 3 143768.785
"2100303" "2009" 4 41457.049
"2100303" "2009" 9 235.84
"2100303" "2009" 11 528.163
"2100303" "2009" 12 5636.08
"2100303" "2009" 15 763.672
"2100303" "2009" 20 0.891
"2100303" "2009" 21 759.383
"2100303" "2009" 24 329.722
"2100303" "2009" 25 571.252
"2100303" "2009" 33 166.31
"2100303" "2010" 3 144117.847
"2100303" "2010" 4 40669.631
"2100303" "2010" 9 294.577
"2100303" "2010" 11 507.396
"2100303" "2010" 12 5484.22
"2100303" "2010" 15 1069.809
"2100303" "2010" 20 0.891
"2100303" "2010" 21 1079.833
"2100303" "2010" 24 334.979
"2100303" "2010" 25 502.259
"2100303" "2010" 33 155.704
"2100303" "2011" 3 144167.866
"2100303" "2011" 4 40505.818
"2100303" "2011" 9 295.557
"2100303" "2011" 11 491.622
"2100303" "2011" 12 5440.905
"2100303" "2011" 15 1291.089
"2100303" "2011" 20 0.891
"2100303" "2011" 21 1088.919
"2100303" "2011" 24 350.663
"2100303" "2011" 25 433.103
"2100303" "2011" 33 150.712
"2100303" "2012" 3 144574.199
"2100303" "2012" 4 40354.563
"2100303" "2012" 9 330.229
"2100303" "2012" 11 484.405
"2100303" "2012" 12 5495.363
"2100303" "2012" 15 1308.621
"2100303" "2012" 20 0.624
"2100303" "2012" 21 948.903
"2100303" "2012" 24 357.258
"2100303" "2012" 25 216.192
"2100303" "2012" 33 146.791
"2100303" "2013" 3 144837.583
"2100303" "2013" 4 40085.48
"2100303" "2013" 9 349.659
"2100303" "2013" 11 488.86
"2100303" "2013" 12 5606.94
"2100303" "2013" 15 1293.457
"2100303" "2013" 20 2.05
"2100303" "2013" 21 791.889
"2100303" "2013" 24 361
"2100303" "2013" 25 257.627
"2100303" "2013" 33 142.602
"2100303" "2014" 3 145130.017
"2100303" "2014" 4 39795.462
"2100303" "2014" 9 358.929
"2100303" "2014" 11 459.983
"2100303" "2014" 12 5618.165
"2100303" "2014" 15 1391.576
"2100303" "2014" 20 1.515
"2100303" "2014" 21 672.378
"2100303" "2014" 24 363.852
"2100303" "2014" 25 285.785
"2100303" "2014" 33 139.483
"2100303" "2015" 3 145543.847
"2100303" "2015" 4 39552.119
"2100303" "2015" 9 378.805
"2100303" "2015" 11 454.458
"2100303" "2015" 12 5805.481
"2100303" "2015" 15 1196.854
"2100303" "2015" 20 1.426
"2100303" "2015" 21 537.722
"2100303" "2015" 24 366.704
"2100303" "2015" 25 240.161
"2100303" "2015" 33 139.572
"2100303" "2016" 3 145369.478
"2100303" "2016" 4 39560.034
"2100303" "2016" 9 378.538
"2100303" "2016" 11 472.996
"2100303" "2016" 12 5848.615
"2100303" "2016" 15 1068.692
"2100303" "2016" 20 7.843
"2100303" "2016" 21 793.388
"2100303" "2016" 24 369.823
"2100303" "2016" 25 209.239
"2100303" "2016" 33 138.502
"2100303" "2017" 3 145513.575
"2100303" "2017" 4 39480.979
"2100303" "2017" 9 378.538
"2100303" "2017" 11 469.788
"2100303" "2017" 12 5868.04
"2100303" "2017" 15 1001.405
"2100303" "2017" 20 7.843
"2100303" "2017" 21 821.285
"2100303" "2017" 24 371.783
"2100303" "2017" 25 157.207
"2100303" "2017" 33 146.702
"2100303" "2018" 3 145508.67
"2100303" "2018" 4 39563.95
"2100303" "2018" 9 378.538
"2100303" "2018" 11 476.922
"2100303" "2018" 12 5877.115
"2100303" "2018" 15 946.511
"2100303" "2018" 20 7.843
"2100303" "2018" 21 804.003
"2100303" "2018" 24 374.278
"2100303" "2018" 25 128.692
"2100303" "2018" 33 150.624
"2100303" "2019" 3 145361.062
"2100303" "2019" 4 39735.34
"2100303" "2019" 9 381.301
"2100303" "2019" 11 500.365
"2100303" "2019" 12 5974.6
"2100303" "2019" 15 963.26
"2100303" "2019" 20 7.754
"2100303" "2019" 21 649.317
"2100303" "2019" 24 374.278
"2100303" "2019" 25 100.349
"2100303" "2019" 33 169.52
"2100303" "2020" 3 144851.096
"2100303" "2020" 4 39751.129
"2100303" "2020" 9 389.055
"2100303" "2020" 11 496.798
"2100303" "2020" 12 6163.454
"2100303" "2020" 15 1077.954
"2100303" "2020" 20 7.754
"2100303" "2020" 21 711.332
"2100303" "2020" 24 375.972
"2100303" "2020" 25 180.385
"2100303" "2020" 33 194.387
"2100303" "2020" 39 17.83
"2101707" "1985" 3 122804.283
"2101707" "1985" 4 92662.827
"2101707" "1985" 5 3655.62
"2101707" "1985" 11 2716.258
"2101707" "1985" 12 19556.998
"2101707" "1985" 15 0.982
"2101707" "1985" 21 16.341
"2101707" "1985" 23 50221.626
"2101707" "1985" 24 416.927
"2101707" "1985" 25 5442.329
"2101707" "1985" 32 144.766
"2101707" "1985" 33 5393.272
"2101707" "1986" 3 122321.562
"2101707" "1986" 4 92476.484
"2101707" "1986" 5 3711.434
"2101707" "1986" 11 2775.553
"2101707" "1986" 12 18699.684
"2101707" "1986" 15 0.982
"2101707" "1986" 21 13.394
"2101707" "1986" 23 48927.274
"2101707" "1986" 24 462.201
"2101707" "1986" 25 6578.873
"2101707" "1986" 32 151.285
"2101707" "1986" 33 6941.009
"2101707" "1987" 3 121530.59
"2101707" "1987" 4 93325.666
"2101707" "1987" 5 3711.791
"2101707" "1987" 11 2728.223
"2101707" "1987" 12 18372.566
"2101707" "1987" 15 0.625
"2101707" "1987" 21 9.376
"2101707" "1987" 23 48876.452
"2101707" "1987" 24 514.975
"2101707" "1987" 25 6538.956
"2101707" "1987" 32 148.963
"2101707" "1987" 33 7377.014
"2101707" "1988" 3 121241.697
"2101707" "1988" 4 93903.68
"2101707" "1988" 5 3728.222
