"muni_code" "ayear" "cover_class" "area_ha"
"1708254" "2002" 24 118.604
"1708254" "2002" 25 561.305
"1708254" "2002" 33 13.951
"1708254" "2002" 39 104.912
"1708254" "2002" 41 22.342
"1708254" "2003" 3 4711.773
"1708254" "2003" 4 24162.126
"1708254" "2003" 11 210.728
"1708254" "2003" 12 1918.886
"1708254" "2003" 15 25946.531
"1708254" "2003" 21 4105.423
"1708254" "2003" 24 118.869
"1708254" "2003" 25 1111.55
"1708254" "2003" 33 15.276
"1708254" "2003" 39 126.814
"1708254" "2003" 41 18.279
"1708254" "2004" 3 4926.191
"1708254" "2004" 4 23770.142
"1708254" "2004" 11 207.55
"1708254" "2004" 12 1928.772
"1708254" "2004" 15 26080.986
"1708254" "2004" 21 3914.125
"1708254" "2004" 24 119.045
"1708254" "2004" 25 1242.272
"1708254" "2004" 33 14.482
"1708254" "2004" 39 231.739
"1708254" "2004" 41 10.95
"1708254" "2005" 3 5420.509
"1708254" "2005" 4 22853.915
"1708254" "2005" 11 207.02
"1708254" "2005" 12 1687.044
"1708254" "2005" 15 26307.277
"1708254" "2005" 21 2500.723
"1708254" "2005" 24 119.134
"1708254" "2005" 25 778.746
"1708254" "2005" 33 15.276
"1708254" "2005" 39 2540.538
"1708254" "2005" 41 16.072
"1708254" "2006" 3 5498.391
"1708254" "2006" 4 22476.404
"1708254" "2006" 11 206.932
"1708254" "2006" 12 1687.851
"1708254" "2006" 15 26027.729
"1708254" "2006" 21 1937.612
"1708254" "2006" 24 120.547
"1708254" "2006" 25 383.753
"1708254" "2006" 33 15.629
"1708254" "2006" 39 2937.905
"1708254" "2006" 41 1153.501
"1708254" "2007" 3 5431.63
"1708254" "2007" 4 22036.754
"1708254" "2007" 11 207.02
"1708254" "2007" 12 1620.037
"1708254" "2007" 15 26179.386
"1708254" "2007" 21 1950.903
"1708254" "2007" 24 123.196
"1708254" "2007" 25 310.707
"1708254" "2007" 33 13.069
"1708254" "2007" 39 2185.89
"1708254" "2007" 41 2387.663
"1708254" "2008" 3 5400.387
"1708254" "2008" 4 21831.932
"1708254" "2008" 11 206.755
"1708254" "2008" 12 1652.372
"1708254" "2008" 15 26397.759
"1708254" "2008" 21 1786.325
"1708254" "2008" 24 123.284
"1708254" "2008" 25 220.711
"1708254" "2008" 33 12.539
"1708254" "2008" 39 1958.494
"1708254" "2008" 41 2855.696
"1708254" "2009" 3 5426.356
"1708254" "2009" 4 21535.964
"1708254" "2009" 11 207.196
"1708254" "2009" 12 1675.518
"1708254" "2009" 15 26539.768
"1708254" "2009" 21 1900.031
"1708254" "2009" 24 130.968
"1708254" "2009" 25 209.572
"1708254" "2009" 33 13.687
"1708254" "2009" 39 1557.214
"1708254" "2009" 41 3249.98
"1708254" "2010" 3 5406.04
"1708254" "2010" 4 21530.911
"1708254" "2010" 11 206.578
"1708254" "2010" 12 1628.357
"1708254" "2010" 15 26894.99
"1708254" "2010" 21 1922.521
"1708254" "2010" 24 131.409
"1708254" "2010" 25 222.394
"1708254" "2010" 33 12.716
"1708254" "2010" 39 2015.644
"1708254" "2010" 41 2474.694
"1708254" "2011" 3 5494.275
"1708254" "2011" 4 21500.462
"1708254" "2011" 11 206.225
"1708254" "2011" 12 1640.364
