"CD_MUN","AREA_KM2","time_taken_min","adt_start"
"2101509",2208.324,0.144,2022-03-28 01:43:52
"2101509",2208.324,0.358,2022-03-28 01:43:47
"2101509",2208.324,1.425,2022-03-28 01:44:10
"2101509",2208.324,2.652,2022-03-28 01:44:21
"2106607",2107.403,0.355,2022-03-28 01:47:59
"2100303",1942.121,1.821,2022-03-28 01:50:45
"2100303",1942.121,0.753,2022-03-28 01:54:09
"2100303",1942.121,0.156,2022-03-28 01:54:55
"2100303",1942.121,0.903,2022-03-28 01:54:12
"2100303",1942.121,1.107,2022-03-28 01:55:28
"2100303",1942.121,0.174,2022-03-28 01:56:43
"2100303",1942.121,0.139,2022-03-28 01:56:58
"2100303",1942.121,0.14,2022-03-28 01:57:08
"2100303",1942.121,0.131,2022-03-28 01:57:17
"2100303",1942.121,0.132,2022-03-28 01:57:27
"2100303",1942.121,0.171,2022-03-28 01:57:37
"2100303",1942.121,0.301,2022-03-28 01:58:18
"2100907",1786.345,0.986,2022-03-28 01:58:40
"2100907",1786.345,0.174,2022-03-28 01:59:43
"2100907",1786.345,0.898,2022-03-28 02:00:16
"2100907",1786.345,0.36,2022-03-28 02:01:32
"2100907",1786.345,0.844,2022-03-28 02:03:04
"2100907",1786.345,0.786,2022-03-28 02:04:11
"2100907",1786.345,0.903,2022-03-28 02:04:11
"2100907",1786.345,0.182,2022-03-28 02:04:58
"2100907",1786.345,0.765,2022-03-28 02:05:09
"2100907",1786.345,1.151,2022-03-28 02:05:18
"2100907",1786.345,0.181,2022-03-28 02:06:28
"2100907",1786.345,0.345,2022-03-28 02:06:24
"2100907",1786.345,0.215,2022-03-28 02:06:39
"2100907",1786.345,0.217,2022-03-28 02:06:46
"2100907",1786.345,1.023,2022-03-28 02:07:02
"2100907",1786.345,1.314,2022-03-28 02:06:53
"2100907",1786.345,0.404,2022-03-28 02:08:07
"2100907",1786.345,0.321,2022-03-28 02:08:12
"2100907",1786.345,0.539,2022-03-28 02:08:33
"2100907",1786.345,0.166,2022-03-28 02:09:05
"2100907",1786.345,0.957,2022-03-28 02:09:17
"2100907",1786.345,0.814,2022-03-28 02:09:34
"2100907",1786.345,0.172,2022-03-28 02:10:56
"2112209",1764.612,0.386,2022-03-28 02:11:21
"2112209",1764.612,0.107,2022-03-28 02:11:47
"2112209",1764.612,0.4,2022-03-28 02:11:54
"2100907",1786.345,1.877,2022-03-28 02:10:57
"2112209",1764.612,0.379,2022-03-28 02:13:15
"2112209",1764.612,0.381,2022-03-28 02:13:15
"2112209",1764.612,0.101,2022-03-28 02:13:37
"2112209",1764.612,0.117,2022-03-28 02:13:39
"2112209",1764.612,0.113,2022-03-28 02:13:44
"2112209",1764.612,0.101,2022-03-28 02:13:47
"2112209",1764.612,0.428,2022-03-28 02:14:24
"2112209",1764.612,0.127,2022-03-28 02:14:54
"2112209",1764.612,0.097,2022-03-28 02:15:03
"2112209",1764.612,0.112,2022-03-28 02:15:09
"2112209",1764.612,0.895,2022-03-28 02:14:25
"2112209",1764.612,0.136,2022-03-28 02:15:16
"2112209",1764.612,0.142,2022-03-28 02:15:20
"2112209",1764.612,0.153,2022-03-28 02:15:24
"2112209",1764.612,0.156,2022-03-28 02:15:28
"2112209",1764.612,0.164,2022-03-28 02:15:33
"2112209",1764.612,0.263,2022-03-28 02:15:46
"2112209",1764.612,0.267,2022-03-28 02:15:46
"2112209",1764.612,0.169,2022-03-28 02:16:07
"2112209",1764.612,0.114,2022-03-28 02:16:17
"2112209",1764.612,0.136,2022-03-28 02:16:25
"2112209",1764.612,0.174,2022-03-28 02:16:35
"2112209",1764.612,0.128,2022-03-28 02:16:45
"2112209",1764.612,0.105,2022-03-28 02:16:54
"2112209",1764.612,0.117,2022-03-28 02:17:02
"2112209",1764.612,1.048,2022-03-28 02:16:07
"2112209",1764.612,0.149,2022-03-28 02:17:27
"2112209",1764.612,0.151,2022-03-28 02:17:27
"2112209",1764.612,0.113,2022-03-28 02:17:35
"2112209",1764.612,0.193,2022-03-28 02:17:44
"2105005",1714.216,0.227,2022-03-28 02:18:00
"2105005",1714.216,0.155,2022-03-28 02:18:14
"2105005",1714.216,0.14,2022-03-28 02:18:50
"2105005",1714.216,0.48,2022-03-28 02:19:06
"2105005",1714.216,0.142,2022-03-28 02:19:36
"2105005",1714.216,1.092,2022-03-28 02:19:09
"2105005",1714.216,0.301,2022-03-28 02:20:10
"2105005",1714.216,0.462,2022-03-28 02:20:30
"2105005",1714.216,0.178,2022-03-28 02:20:59
"2105005",1714.216,0.393,2022-03-28 02:21:14
"2105005",1714.216,0.153,2022-03-28 02:21:44
"2105005",1714.216,0.133,2022-03-28 02:21:55
"2105005",1714.216,2.099,2022-03-28 02:20:19
"2105005",1714.216,0.149,2022-03-28 02:22:39
"2105005",1714.216,0.491,2022-03-28 02:22:58
"2105005",1714.216,0.789,2022-03-28 02:23:45
"2105005",1714.216,1.7,2022-03-28 02:23:02
"2105005",1714.216,0.196,2022-03-28 02:24:34
"2105005",1714.216,0.329,2022-03-28 02:24:46
"2105005",1714.216,0.357,2022-03-28 02:24:45
"2105005",1714.216,1.084,2022-03-28 02:25:11
"2105005",1714.216,0.334,2022-03-28 02:26:21
"2105005",1714.216,2.273,2022-03-28 02:25:13
"2105005",1714.216,0.261,2022-03-28 02:28:06
"2105005",1714.216,0.984,2022-03-28 02:28:08
"2105005",1714.216,0.799,2022-03-28 02:29:19
"2112605",1705.914,0.265,2022-03-28 02:30:07
"2105005",1714.216,1.444,2022-03-28 02:29:20
"2112605",1705.914,0.325,2022-03-28 02:31:10
"2112605",1705.914,0.567,2022-03-28 02:30:56
"2112605",1705.914,0.148,2022-03-28 02:31:59
"2112605",1705.914,0.124,2022-03-28 02:32:11
"2112605",1705.914,0.505,2022-03-28 02:31:50
"2112605",1705.914,0.172,2022-03-28 02:33:52
"2112605",1705.914,0.193,2022-03-28 02:34:37
"2112605",1705.914,2.004,2022-03-28 02:35:05
"2112605",1705.914,0.767,2022-03-28 02:38:26
"2110278",1584.832,0.975,2022-03-28 02:39:16
"2110278",1584.832,0.862,2022-03-28 02:39:39
"2110278",1584.832,0.16,2022-03-28 02:40:30
"2110278",1584.832,0.228,2022-03-28 02:40:33
"2110278",1584.832,0.825,2022-03-28 02:40:40
"2110278",1584.832,0.161,2022-03-28 02:41:36
"2110278",1584.832,0.116,2022-03-28 02:41:47
"2110278",1584.832,0.113,2022-03-28 02:41:54
"2110278",1584.832,0.124,2022-03-28 02:42:02
"2110278",1584.832,0.352,2022-03-28 02:42:10
"2110278",1584.832,0.118,2022-03-28 02:42:34
"2110278",1584.832,0.115,2022-03-28 02:42:41
"2110278",1584.832,0.115,2022-03-28 02:42:49
"2110278",1584.832,0.178,2022-03-28 02:42:56
"2110278",1584.832,0.165,2022-03-28 02:43:10
"2110278",1584.832,0.964,2022-03-28 02:42:23
"2110278",1584.832,0.157,2022-03-28 02:43:23
"2110278",1584.832,0.162,2022-03-28 02:43:24
"2110278",1584.832,0.159,2022-03-28 02:43:33
"2110278",1584.832,0.161,2022-03-28 02:43:36
"2110278",1584.832,0.154,2022-03-28 02:43:44
"2110278",1584.832,0.144,2022-03-28 02:43:47
"2110278",1584.832,0.176,2022-03-28 02:43:57
"2110278",1584.832,0.214,2022-03-28 02:43:57
"2110278",1584.832,0.146,2022-03-28 02:44:14
"2110278",1584.832,0.165,2022-03-28 02:44:13
"2110278",1584.832,0.171,2022-03-28 02:44:23
"2110278",1584.832,0.172,2022-03-28 02:44:23
"2110278",1584.832,0.176,2022-03-28 02:44:36
"2110278",1584.832,0.132,2022-03-28 02:44:48
"2110278",1584.832,0.124,2022-03-28 02:44:57
"2110278",1584.832,0.117,2022-03-28 02:45:06
"2110278",1584.832,0.126,2022-03-28 02:45:14
"2110278",1584.832,0.271,2022-03-28 02:45:23
"2112506",1566.08,0.457,2022-03-28 02:46:02
"2112506",1566.08,0.186,2022-03-28 02:46:30
"2112506",1566.08,0.135,2022-03-28 02:46:48
"2112506",1566.08,0.161,2022-03-28 02:46:58
"2112506",1566.08,0.152,2022-03-28 02:47:10
"2112506",1566.08,0.147,2022-03-28 02:47:21
"2112506",1566.08,0.143,2022-03-28 02:47:31
"2112506",1566.08,0.165,2022-03-28 02:47:41
"2112506",1566.08,0.257,2022-03-28 02:47:52
"2112506",1566.08,2.285,2022-03-28 02:46:03
"2112506",1566.08,0.456,2022-03-28 02:49:58
"2112506",1566.08,0.158,2022-03-28 02:50:31
"2112506",1566.08,0.211,2022-03-28 02:50:47
"2112506",1566.08,0.196,2022-03-28 02:51:03
"2112506",1566.08,0.713,2022-03-28 02:50:32
"2112506",1566.08,0.839,2022-03-28 02:51:31
"2112506",1566.08,0.201,2022-03-28 02:52:34
"2112506",1566.08,1.302,2022-03-28 02:51:34
"2112506",1566.08,1.035,2022-03-28 02:52:58
"2112506",1566.08,1.313,2022-03-28 02:54:05
"2112506",1566.08,1.391,2022-03-28 02:54:17
"2112506",1566.08,0.248,2022-03-28 02:55:42
"2112506",1566.08,0.462,2022-03-28 02:55:38
"2112506",1566.08,1.135,2022-03-28 02:56:17
"2105922",1512.985,0.126,2022-03-28 02:57:52
"2105922",1512.985,0.084,2022-03-28 02:58:02
"2105922",1512.985,0.089,2022-03-28 02:58:07
"2105922",1512.985,0.076,2022-03-28 02:58:14
"2105922",1512.985,0.082,2022-03-28 02:58:20
"2105922",1512.985,0.08,2022-03-28 02:58:26
"2105922",1512.985,0.081,2022-03-28 02:58:32
"2105922",1512.985,0.079,2022-03-28 02:58:38
"2105922",1512.985,0.083,2022-03-28 02:58:44
"2105922",1512.985,0.106,2022-03-28 02:58:51
"2105922",1512.985,1.088,2022-03-28 02:57:54
"2105922",1512.985,1.138,2022-03-28 02:59:01
"2105922",1512.985,0.094,2022-03-28 03:00:12
"2105922",1512.985,1.199,2022-03-28 02:59:12
"2105922",1512.985,0.106,2022-03-28 03:00:18
"2105922",1512.985,0.116,2022-03-28 03:00:25
"2105922",1512.985,0.112,2022-03-28 03:00:25
"2105922",1512.985,0.1,2022-03-28 03:00:34
"2105922",1512.985,0.081,2022-03-28 03:00:41
"2105922",1512.985,0.297,2022-03-28 03:00:35
"2105922",1512.985,0.097,2022-03-28 03:00:47
"2105922",1512.985,0.117,2022-03-28 03:00:53
"2105922",1512.985,0.11,2022-03-28 03:00:54
"2105922",1512.985,1.258,2022-03-28 03:01:00
"2105922",1512.985,1.244,2022-03-28 03:01:02
"2105922",1512.985,0.523,2022-03-28 03:02:19
"2105922",1512.985,1.143,2022-03-28 03:02:20
"2105922",1512.985,0.169,2022-03-28 03:03:29
"2105922",1512.985,0.096,2022-03-28 03:03:39
"2105922",1512.985,0.916,2022-03-28 03:02:58
"2105922",1512.985,0.14,2022-03-28 03:03:46
"2105922",1512.985,0.153,2022-03-28 03:03:55
"2105922",1512.985,0.155,2022-03-28 03:03:55
"2105922",1512.985,0.151,2022-03-28 03:04:05
"2105922",1512.985,0.165,2022-03-28 03:04:05
"2111102",1482.661,0.144,2022-03-28 03:04:34
"2111102",1482.661,0.194,2022-03-28 03:04:39
"2111102",1482.661,0.826,2022-03-28 03:04:53
"2111102",1482.661,1.062,2022-03-28 03:04:48
"2111102",1482.661,0.148,2022-03-28 03:05:55
"2111102",1482.661,0.149,2022-03-28 03:05:55
"2111102",1482.661,0.128,2022-03-28 03:06:16
"2111102",1482.661,0.127,2022-03-28 03:06:16
"2111102",1482.661,0.131,2022-03-28 03:06:24
"2111102",1482.661,0.129,2022-03-28 03:06:25
"2111102",1482.661,0.122,2022-03-28 03:06:34
"2111102",1482.661,0.128,2022-03-28 03:06:34
"2111102",1482.661,0.139,2022-03-28 03:06:54
"2111102",1482.661,0.143,2022-03-28 03:06:54
"2111102",1482.661,0.64,2022-03-28 03:07:11
"2111102",1482.661,0.116,2022-03-28 03:07:53
"2111102",1482.661,0.826,2022-03-28 03:07:12
"2111102",1482.661,0.133,2022-03-28 03:08:01
"2111102",1482.661,0.147,2022-03-28 03:08:03
"2111102",1482.661,0.139,2022-03-28 03:08:09
"2111102",1482.661,0.258,2022-03-28 03:08:19
"2111102",1482.661,0.116,2022-03-28 03:08:37
"2111102",1482.661,0.103,2022-03-28 03:08:45
"2111102",1482.661,0.101,2022-03-28 03:08:53
"2111102",1482.661,0.098,2022-03-28 03:09:00
"2111102",1482.661,0.116,2022-03-28 03:09:07
"2111102",1482.661,0.866,2022-03-28 03:08:31
"2111102",1482.661,0.135,2022-03-28 03:09:15
"2111102",1482.661,0.687,2022-03-28 03:09:25
"2111102",1482.661,0.124,2022-03-28 03:10:10
"2111102",1482.661,0.123,2022-03-28 03:10:19
"2111102",1482.661,1.055,2022-03-28 03:09:25
"2102200",1473.967,0.082,2022-03-28 03:10:27
"2102200",1473.967,0.084,2022-03-28 03:10:30
"2102200",1473.967,0.089,2022-03-28 03:10:33
"2102200",1473.967,0.09,2022-03-28 03:10:36
