"CD_MUN","AREA_KM2","time_taken_min","adt_start"
"2100956",2976.039,5.948,2022-03-28 11:41:14
"2100956",2976.039,2.849,2022-03-28 11:47:14
"2100956",2976.039,2.377,2022-03-28 11:50:09
"2100956",2976.039,8.461,2022-03-28 11:52:42
"2100956",2976.039,2.826,2022-03-28 12:01:23
"2100956",2976.039,11.089,2022-03-28 12:04:25
"2100956",2976.039,2.025,2022-03-28 12:15:35
"2100956",2976.039,3.097,2022-03-28 12:17:48
"2100956",2976.039,5.551,2022-03-28 12:20:59
"2100956",2976.039,2.007,2022-03-28 12:26:32
"2100956",2976.039,3.491,2022-03-28 12:28:33
"2100956",2976.039,0.802,2022-03-28 12:32:02
"2100956",2976.039,1.93,2022-03-28 12:32:59
"2100956",2976.039,2.928,2022-03-28 12:35:05
"2100956",2976.039,1.321,2022-03-28 12:38:01
"2100956",2976.039,3.589,2022-03-28 12:39:30
"2100956",2976.039,0.89,2022-03-28 12:43:09
"2100956",2976.039,1.792,2022-03-28 12:44:03
"2100956",2976.039,4.249,2022-03-28 12:45:59
"2100956",2976.039,1.543,2022-03-28 12:50:15
"2100956",2976.039,3.039,2022-03-28 12:51:55
"2100956",2976.039,1.346,2022-03-28 12:54:57
"2100956",2976.039,2.245,2022-03-28 12:56:24
"2100956",2976.039,2.675,2022-03-28 12:58:39
"2100956",2976.039,5.516,2022-03-28 13:01:31
"2100956",2976.039,3.29,2022-03-28 13:07:04
"2100956",2976.039,1.668,2022-03-28 13:10:22
"2100956",2976.039,1.706,2022-03-28 13:12:10
"2100956",2976.039,3.588,2022-03-28 13:14:02
"2100956",2976.039,2.982,2022-03-28 13:17:39
"2100956",2976.039,4.787,2022-03-28 13:20:42
"2100956",2976.039,1.775,2022-03-28 13:25:29
"2100956",2976.039,2.734,2022-03-28 13:27:23
"2100956",2976.039,0.998,2022-03-28 13:30:19
"2100956",2976.039,1.071,2022-03-28 13:31:27
"2100956",2976.039,4.121,2022-03-28 13:33:13
"1502954",2956.69,2.657,2022-03-28 13:37:26
"1502954",2956.69,3.074,2022-03-28 13:40:16
"1502954",2956.69,0.234,2022-03-28 13:43:21
"1502954",2956.69,0.459,2022-03-28 13:43:35
"1502954",2956.69,3.773,2022-03-28 13:44:04
"1502954",2956.69,0.226,2022-03-28 13:47:50
"1502954",2956.69,0.92,2022-03-28 13:48:04
"1502954",2956.69,4.217,2022-03-28 13:49:00
"1502954",2956.69,0.419,2022-03-28 13:53:16
"1502954",2956.69,1.349,2022-03-28 13:53:42
"1502954",2956.69,4.039,2022-03-28 13:55:03
"1502954",2956.69,0.936,2022-03-28 13:59:06
"1502954",2956.69,3.461,2022-03-28 14:00:09
"1502954",2956.69,0.344,2022-03-28 14:03:37
"1502954",2956.69,0.89,2022-03-28 14:03:58
"1502954",2956.69,2.788,2022-03-28 14:05:04
"1502954",2956.69,0.568,2022-03-28 14:07:52
"1502954",2956.69,4.9,2022-03-28 14:08:26
"1502954",2956.69,0.3,2022-03-28 14:13:23
"1502954",2956.69,1.379,2022-03-28 14:13:42
"1502954",2956.69,2.95,2022-03-28 14:15:14
"1502954",2956.69,0.942,2022-03-28 14:18:11
