"CD_MUN","AREA_KM2","time_taken_min","adt_start"
"5105200",2720.481,1.539,2022-03-29 06:48:42
"5105200",2720.481,1.433,2022-03-29 06:50:28
"5105200",2720.481,3.475,2022-03-29 06:51:54
"2104057",2718.978,0.925,2022-03-29 06:55:23
"2104057",2718.978,0.359,2022-03-29 06:56:30
"2104057",2718.978,0.843,2022-03-29 06:56:52
"2104057",2718.978,0.255,2022-03-29 06:57:42
"2104057",2718.978,0.508,2022-03-29 06:57:58
"2104057",2718.978,0.263,2022-03-29 06:58:28
"2104057",2718.978,2.037,2022-03-29 06:58:44
"2104057",2718.978,0.505,2022-03-29 07:00:46
"2104057",2718.978,0.429,2022-03-29 07:01:17
"2104057",2718.978,0.684,2022-03-29 07:02:05
"2104057",2718.978,0.286,2022-03-29 07:02:46
"2104057",2718.978,0.894,2022-03-29 07:03:03
"2104057",2718.978,0.561,2022-03-29 07:03:57
"2104057",2718.978,0.248,2022-03-29 07:04:30
"2104057",2718.978,0.369,2022-03-29 07:04:45
"2104057",2718.978,0.225,2022-03-29 07:05:20
"2104057",2718.978,0.352,2022-03-29 07:05:34
"2104057",2718.978,0.634,2022-03-29 07:05:55
"2104057",2718.978,0.693,2022-03-29 07:06:33
"2104057",2718.978,0.309,2022-03-29 07:07:15
"2104057",2718.978,0.37,2022-03-29 07:07:35
"2104057",2718.978,0.434,2022-03-29 07:07:58
"2104057",2718.978,0.227,2022-03-29 07:08:24
"2104057",2718.978,0.358,2022-03-29 07:08:38
"2104057",2718.978,0.365,2022-03-29 07:08:59
"2104057",2718.978,0.343,2022-03-29 07:09:21
"2104057",2718.978,0.961,2022-03-29 07:09:42
"2104057",2718.978,0.304,2022-03-29 07:10:41
"2104057",2718.978,0.282,2022-03-29 07:10:59
"2104057",2718.978,0.576,2022-03-29 07:11:16
"2104057",2718.978,0.663,2022-03-29 07:11:51
"2104057",2718.978,0.575,2022-03-29 07:12:31
"2104057",2718.978,0.981,2022-03-29 07:13:06
"2104057",2718.978,1.957,2022-03-29 07:14:05
"2104057",2718.978,0.451,2022-03-29 07:16:02
"2104057",2718.978,0.314,2022-03-29 07:16:29
"5103361",2684.256,0.368,2022-03-29 07:16:48
"5103361",2684.256,0.776,2022-03-29 07:17:10
"5103361",2684.256,0.504,2022-03-29 07:17:57
"5103361",2684.256,0.233,2022-03-29 07:18:28
"5103361",2684.256,0.359,2022-03-29 07:18:42
"5103361",2684.256,0.37,2022-03-29 07:19:03
"5103361",2684.256,0.752,2022-03-29 07:19:33
"5103361",2684.256,0.541,2022-03-29 07:20:19
"5103361",2684.256,0.231,2022-03-29 07:21:10
"5103361",2684.256,0.23,2022-03-29 07:21:23
"5103361",2684.256,0.909,2022-03-29 07:21:37
