"CD_MUN","AREA_KM2","time_taken_min","adt_start"
"2103208",3247.384,0.784,2022-03-28 09:12:57
"2107803",3240.491,0.89,2022-03-28 09:13:44
"2107803",3240.491,0.513,2022-03-28 09:14:38
"2107803",3240.491,0.689,2022-03-28 09:15:09
"2107803",3240.491,0.976,2022-03-28 09:15:51
"2107803",3240.491,0.904,2022-03-28 09:16:49
"2107803",3240.491,0.699,2022-03-28 09:17:44
"2107803",3240.491,0.711,2022-03-28 09:18:26
"2107803",3240.491,0.769,2022-03-28 09:19:08
"2107803",3240.491,0.524,2022-03-28 09:19:54
"2107803",3240.491,0.687,2022-03-28 09:20:26
"2107803",3240.491,0.578,2022-03-28 09:21:07
"2107803",3240.491,0.587,2022-03-28 09:21:42
"2107803",3240.491,0.825,2022-03-28 09:22:17
"2101707",3047.05,0.422,2022-03-28 09:23:07
"2101707",3047.05,1.497,2022-03-28 09:23:32
"2101707",3047.05,0.401,2022-03-28 09:25:03
"2101707",3047.05,0.464,2022-03-28 09:25:27
"2101707",3047.05,0.559,2022-03-28 09:25:55
"2101707",3047.05,0.85,2022-03-28 09:26:29
"2101707",3047.05,0.426,2022-03-28 09:27:32
"2101707",3047.05,0.897,2022-03-28 09:27:57
"2101707",3047.05,0.35,2022-03-28 09:28:51
"2101707",3047.05,0.433,2022-03-28 09:29:12
"2101707",3047.05,0.331,2022-03-28 09:29:38
"2101707",3047.05,0.46,2022-03-28 09:29:58
"2101707",3047.05,0.432,2022-03-28 09:30:26
"2101707",3047.05,0.576,2022-03-28 09:30:52
"2101707",3047.05,0.307,2022-03-28 09:31:27
"2101707",3047.05,0.22,2022-03-28 09:31:45
"2101707",3047.05,0.265,2022-03-28 09:31:58
"2101707",3047.05,0.382,2022-03-28 09:32:14
"2101707",3047.05,0.296,2022-03-28 09:32:37
"2101707",3047.05,0.245,2022-03-28 09:32:55
"2101707",3047.05,0.478,2022-03-28 09:33:10
"2101707",3047.05,0.363,2022-03-28 09:33:38
"2101707",3047.05,0.368,2022-03-28 09:34:00
"2101707",3047.05,0.411,2022-03-28 09:34:41
"2101707",3047.05,0.522,2022-03-28 09:35:06
"2101707",3047.05,0.432,2022-03-28 09:35:38
"2101707",3047.05,0.259,2022-03-28 09:36:04
"2101707",3047.05,0.785,2022-03-28 09:36:19
"2101707",3047.05,1.1,2022-03-28 09:37:06
"2101707",3047.05,0.604,2022-03-28 09:38:16
"2101707",3047.05,0.27,2022-03-28 09:38:52
"2101707",3047.05,0.718,2022-03-28 09:39:08
"2101707",3047.05,0.378,2022-03-28 09:39:51
"2101707",3047.05,0.364,2022-03-28 09:40:15
"2101707",3047.05,0.418,2022-03-28 09:40:37
"2101707",3047.05,0.392,2022-03-28 09:41:02
"2110906",2280.205,0.138,2022-03-28 09:41:26
"2110906",2280.205,0.125,2022-03-28 09:41:34
"2110906",2280.205,0.187,2022-03-28 09:41:42
"2110906",2280.205,0.118,2022-03-28 09:41:53
"2110906",2280.205,0.114,2022-03-28 09:42:00
"2110906",2280.205,0.106,2022-03-28 09:42:07
"2110906",2280.205,0.112,2022-03-28 09:42:13
"2110906",2280.205,0.124,2022-03-28 09:42:20
"2110906",2280.205,0.158,2022-03-28 09:42:27
"2110906",2280.205,0.216,2022-03-28 09:42:37
"2110906",2280.205,0.147,2022-03-28 09:42:50
"2110906",2280.205,0.116,2022-03-28 09:42:59
"2110906",2280.205,0.125,2022-03-28 09:43:05
"2110906",2280.205,0.123,2022-03-28 09:43:13
