"CD_MUN","AREA_KM2","time_taken_min","adt_start"
"1502301",2901.026,0.65,2022-03-28 21:45:17
"5104542",2898.073,0.394,2022-03-28 21:45:56
"5104542",2898.073,0.241,2022-03-28 21:46:20
"5104542",2898.073,0.138,2022-03-28 21:46:34
"5104542",2898.073,0.145,2022-03-28 21:46:43
"5104542",2898.073,0.14,2022-03-28 21:46:51
"5104542",2898.073,0.114,2022-03-28 21:47:00
"5104542",2898.073,0.12,2022-03-28 21:47:07
"5104542",2898.073,0.132,2022-03-28 21:47:14
"5104542",2898.073,0.132,2022-03-28 21:47:22
"5104542",2898.073,0.215,2022-03-28 21:47:30
"5104542",2898.073,0.126,2022-03-28 21:47:43
"5104542",2898.073,0.109,2022-03-28 21:47:50
"5104542",2898.073,0.113,2022-03-28 21:47:57
"5104542",2898.073,0.107,2022-03-28 21:48:04
"5104542",2898.073,0.114,2022-03-28 21:48:10
"5104542",2898.073,0.119,2022-03-28 21:48:17
"5104542",2898.073,0.137,2022-03-28 21:48:24
"5104542",2898.073,0.219,2022-03-28 21:48:32
"5104542",2898.073,0.163,2022-03-28 21:48:46
"5104542",2898.073,0.126,2022-03-28 21:48:55
"5104542",2898.073,0.132,2022-03-28 21:49:03
"5104542",2898.073,0.12,2022-03-28 21:49:11
"5104542",2898.073,0.612,2022-03-28 21:49:18
"5104542",2898.073,0.158,2022-03-28 21:49:55
"5104542",2898.073,0.115,2022-03-28 21:50:04
"5104542",2898.073,0.121,2022-03-28 21:50:11
"5104542",2898.073,0.129,2022-03-28 21:50:18
"5104542",2898.073,0.144,2022-03-28 21:50:26
"5104542",2898.073,0.136,2022-03-28 21:50:35
"5104542",2898.073,0.272,2022-03-28 21:50:43
"5104542",2898.073,0.125,2022-03-28 21:51:00
"5104542",2898.073,0.128,2022-03-28 21:51:07
"5104542",2898.073,0.12,2022-03-28 21:51:15
"5104542",2898.073,0.119,2022-03-28 21:51:22
"5104542",2898.073,0.12,2022-03-28 21:51:29
"5104542",2898.073,0.115,2022-03-28 21:51:36
"1304401",2886.494,0.745,2022-03-28 21:51:43
"1304401",2886.494,0.6,2022-03-28 21:52:28
"1304401",2886.494,0.45,2022-03-28 21:53:04
"1304401",2886.494,0.402,2022-03-28 21:53:31
"1304401",2886.494,1.176,2022-03-28 21:53:56
"1304401",2886.494,0.665,2022-03-28 21:55:06
"1304401",2886.494,0.725,2022-03-28 21:55:46
"1304401",2886.494,0.563,2022-03-28 21:56:30
