"CD_MUN","AREA_KM2","time_taken_min","adt_start"
"2109700",2478.704,2.22,2022-03-29 14:18:14
"2109700",2478.704,2.311,2022-03-29 14:20:51
"2109700",2478.704,4.186,2022-03-29 14:23:27
"2109700",2478.704,1.575,2022-03-29 14:27:40
"2109700",2478.704,1.998,2022-03-29 14:29:25
"2109700",2478.704,1.755,2022-03-29 14:31:33
"2109700",2478.704,2.664,2022-03-29 14:33:40
"2109700",2478.704,1.816,2022-03-29 14:36:35
"2109700",2478.704,2.032,2022-03-29 14:38:32
"2109700",2478.704,2.597,2022-03-29 14:40:44
"2109700",2478.704,1.211,2022-03-29 14:43:27
"2109700",2478.704,1.888,2022-03-29 14:44:52
"2109700",2478.704,1.427,2022-03-29 14:46:55
"2109700",2478.704,1.759,2022-03-29 14:48:30
"2109700",2478.704,1.337,2022-03-29 14:50:24
"2109700",2478.704,3.225,2022-03-29 14:51:55
"2109700",2478.704,3.614,2022-03-29 14:55:27
"2109700",2478.704,2.478,2022-03-29 14:59:16
"2109700",2478.704,3.051,2022-03-29 15:01:55
"2109700",2478.704,1.739,2022-03-29 15:05:05
"2109700",2478.704,2.54,2022-03-29 15:06:59
"2107357",2452.615,0.463,2022-03-29 15:09:40
"2107357",2452.615,1.407,2022-03-29 15:10:15
"2107357",2452.615,1.929,2022-03-29 15:11:48
"2107357",2452.615,0.638,2022-03-29 15:13:50
"2107357",2452.615,0.919,2022-03-29 15:14:35
"2107357",2452.615,0.615,2022-03-29 15:15:39
"2107357",2452.615,0.892,2022-03-29 15:16:15
"2107357",2452.615,2.453,2022-03-29 15:17:18
"2107357",2452.615,0.152,2022-03-29 15:19:54
"2107357",2452.615,1.46,2022-03-29 15:20:03
"2107357",2452.615,2.134,2022-03-29 15:21:43
"2107357",2452.615,0.142,2022-03-29 15:24:04
"2107357",2452.615,1.799,2022-03-29 15:24:12
"2107357",2452.615,3.099,2022-03-29 15:26:16
"2107357",2452.615,0.265,2022-03-29 15:29:42
"2107357",2452.615,1.154,2022-03-29 15:30:01
"2107357",2452.615,1.495,2022-03-29 15:31:22
"2107357",2452.615,0.508,2022-03-29 15:32:58
"2107357",2452.615,1.049,2022-03-29 15:33:34
"2107357",2452.615,1.027,2022-03-29 15:34:44
"2107357",2452.615,0.848,2022-03-29 15:35:58
"2107357",2452.615,1.843,2022-03-29 15:37:26
"2107357",2452.615,1.624,2022-03-29 15:39:25
"2107357",2452.615,1.162,2022-03-29 15:41:03
"2107357",2452.615,2.576,2022-03-29 15:42:19
"2107357",2452.615,0.726,2022-03-29 15:45:03
"2107357",2452.615,1.02,2022-03-29 15:46:05
"2107357",2452.615,2.328,2022-03-29 15:47:17
