system:index,area,band,class,class_name,.geo
5_0_2,905.2149516227557,classification_1990,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_3,3.8077496416625967,classification_1990,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_4,1264.3285896112898,classification_1990,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5,812.6968545310142,classification_1990,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_6,14.75295332720912,classification_1990,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_7,1758.7450485308862,classification_1990,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_8,0.09016071612548827,classification_1990,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,0.20742303356933597,classification_1991,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_1,154741.9766392226,classification_1991,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_2,900.0636189604644,classification_1991,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_3,3.7608249808349594,classification_1991,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_4,1258.3282419178104,classification_1991,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_5,852.7710641378382,classification_1991,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_6,15.097636176574404,classification_1991,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_7,1760.927632710444,classification_1991,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_8,0.06906019586181641,classification_1991,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_0,0.2064988971557617,classification_1992,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_1,154608.06766924998,classification_1992,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_2,893.3552200360851,classification_1992,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_3,3.795315454345702,classification_1992,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_4,1262.5741051015086,classification_1992,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_5,1002.6403350077198,classification_1992,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_6,15.404654219909393,classification_1992,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_7,1746.879738252935,classification_1992,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_8,0.2786051166992187,classification_1992,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_0,0.20205676593017574,classification_1993,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_1,154533.50229588326,classification_1993,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_2,890.3476560624518,classification_1993,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_3,3.8173868439941407,classification_1993,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_4,1252.849732890871,classification_1993,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_5,1079.4865160767583,classification_1993,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
